;Общо за страната;
2008;35.9;
2009;33.4;
2010;33.2;
2011;35.0;
2012;33.6;
2013;35.4;
2014;35.4;
2015;37.0;
2016;37.7;
2017;40.1;
2018;39.6;
2019;40.8;
2020;40.0;
2021;39.7;
2022;38.4;
2023;37.2;
