;;млн. лв.;млн. лв.;млн. лв.;млн. лв.;млн. лв.;млн. лв.;млн. лв.;млн. лв.;млн. лв.;млн. лв.;млн. лв.;млн. лв.;млн. лв.;млн. лв.;млн. лв.;млн. лв.;млн. лв.;млн. лв.;млн. лв.;млн. лв.;млн. лв.;млн. лв.;млн. лв.;млн. лв.;млн. лв.;млн. лв.;млн. лв.;
;;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;
Нето получени (-)/нето предоставени заеми (+);Държавно управление;288;356;38;30;210;-361;-14;736;757;1430;-7;1034;-3249;-2744;-1417;-666;-598;-4528;-1665;303;1668;1898;2580;-4590;-5474;-4856;-3709;
